INFO:2025-04-30 08:29:01,846: Epoch [1/50], Step [1500/2998], Loss: 0.36971, Disc Loss: 3.92820, Dur Loss: 0.98622, CE Loss: 0.04984, Norm Loss: 1.22096, F0 Loss: 1.89755, LM Loss: 1.94575, Gen Loss: 6.90293, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.33076, Mono Loss: 0.04350
INFO:2025-04-30 08:32:12,980: Epoch [1/50], Step [1600/2998], Loss: 0.37115, Disc Loss: 3.91841, Dur Loss: 1.04543, CE Loss: 0.05639, Norm Loss: 0.67265, F0 Loss: 1.68473, LM Loss: 1.45946, Gen Loss: 6.19211, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.34263, Mono Loss: 0.03716
INFO:2025-04-30 08:35:26,243: Epoch [1/50], Step [1700/2998], Loss: 0.36692, Disc Loss: 3.75468, Dur Loss: 0.92933, CE Loss: 0.04639, Norm Loss: 0.78026, F0 Loss: 2.01363, LM Loss: 1.96095, Gen Loss: 7.09686, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.32062, Mono Loss: 0.03815
INFO:2025-04-30 08:38:36,988: Epoch [1/50], Step [1800/2998], Loss: 0.37279, Disc Loss: 3.75167, Dur Loss: 0.87418, CE Loss: 0.03948, Norm Loss: 0.79352, F0 Loss: 1.78756, LM Loss: 1.35883, Gen Loss: 6.53630, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.10052, Mono Loss: 0.05803
INFO:2025-04-30 08:41:47,184: Epoch [1/50], Step [1900/2998], Loss: 0.35842, Disc Loss: 3.87788, Dur Loss: 0.91065, CE Loss: 0.04538, Norm Loss: 0.90700, F0 Loss: 2.21019, LM Loss: 1.36539, Gen Loss: 6.71548, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.15828, Mono Loss: 0.03713
INFO:2025-04-30 08:44:58,468: Epoch [1/50], Step [2000/2998], Loss: 0.36234, Disc Loss: 3.86561, Dur Loss: 1.02034, CE Loss: 0.04865, Norm Loss: 0.83336, F0 Loss: 1.82029, LM Loss: 1.36683, Gen Loss: 5.99660, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.09810, Mono Loss: 0.05560
INFO:2025-04-30 08:48:11,518: Epoch [1/50], Step [2100/2998], Loss: 0.34908, Disc Loss: 3.91406, Dur Loss: 0.83282, CE Loss: 0.03978, Norm Loss: 0.81550, F0 Loss: 1.86451, LM Loss: 1.45303, Gen Loss: 6.98558, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.01993, Mono Loss: 0.03818
INFO:2025-04-30 08:51:22,199: Epoch [1/50], Step [2200/2998], Loss: 0.36520, Disc Loss: 3.92069, Dur Loss: 0.99356, CE Loss: 0.04721, Norm Loss: 1.01371, F0 Loss: 2.23730, LM Loss: 1.41306, Gen Loss: 7.24139, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.01868, Mono Loss: 0.05655
INFO:2025-04-30 08:54:35,577: Epoch [1/50], Step [2300/2998], Loss: 0.35273, Disc Loss: 3.65320, Dur Loss: 0.97213, CE Loss: 0.05482, Norm Loss: 0.87826, F0 Loss: 2.02865, LM Loss: 1.51749, Gen Loss: 7.29943, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.24409, Mono Loss: 0.04276
INFO:2025-04-30 08:57:48,297: Epoch [1/50], Step [2400/2998], Loss: 0.36330, Disc Loss: 3.92689, Dur Loss: 1.32698, CE Loss: 0.05932, Norm Loss: 1.10222, F0 Loss: 2.05629, LM Loss: 1.85861, Gen Loss: 6.58412, Sty Loss: 0.00000, Diff Loss: 0.00000, DiscLM Loss: 0.00000, GenLM Loss: 0.00000, SLoss: 0.00000, S2S Loss: 1.36032, Mono Loss: 0.05889
